img,cls
../database\cruise ship\travel-cruise-cruise-line-water-ocean-va-967984.jpg,database\cruise ship
../database\cruise ship\travel-vacations-summer-tourism-3571077.jpg,database\cruise ship
../database\cruise ship\travel-vacations-summer-tourism-3571078.jpg,database\cruise ship
../database\cruise ship\travel-waters-sea-ship-cruise-ship-3196458.jpg,database\cruise ship
../database\cruise ship\two-cruise-ships-bahamas-2413470.jpg,database\cruise ship
../database\cruise ship\vacations-travel-holidays-summer-3585534.jpg,database\cruise ship
../database\cruise ship\vancouver-canada-port-cruise-ship-pier-p-2106888.jpg,database\cruise ship
../database\cruise ship\venice-cruise-ship-port-sky-cruise-cruis-780865.jpg,database\cruise ship
../database\cruise ship\venice-italy-cruise-ship-gondolas-2554244.jpg,database\cruise ship
../database\cruise ship\venice-italy-venezia-sea-cruise-ship-cru-321271.jpg,database\cruise ship
../database\cruise ship\venice-pollution-cruise-ship-2522538.jpg,database\cruise ship
../database\cruise ship\virgin-islands-cruise-ship-st-thomas-vie-949870.jpg,database\cruise ship
../database\cruise ship\vision-the-seas-cozumel-cruise-ship-ship-1021676.jpg,database\cruise ship
../database\cruise ship\water-sea-coast-beach-ocean-wave-3261036.jpg,database\cruise ship
../database\cruise ship\water-sea-ship-boat-ocean-cruise-3297593.jpg,database\cruise ship
../database\cruise ship\water-sea-travel-ship-boat-cruise-3123536.jpg,database\cruise ship
../database\cruise ship\waters-sea-ship-boat-3176281.jpg,database\cruise ship
../database\ferry boat\africa-river-botswana-water-landscape-na-172697.jpg,database\ferry boat
../database\ferry boat\apostle-island-ferry-3524075.jpg,database\ferry boat
../database\ferry boat\beach-beautiful-blue-boat-cruise-3741909.jpg,database\ferry boat
../database\ferry boat\boat-ferry-black-forest-lake-123642.jpg,database\ferry boat
../database\ferry boat\boat-ferry-departure-crossing-sea-2733061.jpg,database\ferry boat
../database\ferry boat\boat-ferry-logo-ship-transport-157680.jpg,database\ferry boat
../database\ferry boat\boat-ferry-sea-water-transport-1629523.jpg,database\ferry boat
../database\ferry boat\boat-sign-ship-sign-ferry-sign-ship-boat-36951.jpg,database\ferry boat
../database\ferry boat\boat-switzerland-bergsee-tourism-blue-fe-1513948.jpg,database\ferry boat
../database\ferry boat\boat-water-river-sea-ocean-blue-3624704.jpg,database\ferry boat
../database\ferry boat\bridge-ferry-captain-travel-water-2648720.jpg,database\ferry boat
../database\ferry boat\bridge-river-ship-river-navigation-3694245.jpg,database\ferry boat
../database\ferry boat\budapest-hungary-parliament-building-pal-632851.jpg,database\ferry boat
../database\ferry boat\bute-ferry-port-scotland-argyll-sea-scot-1010612.jpg,database\ferry boat
../database\ferry boat\ferries-shipping-transport-cross-53121.jpg,database\ferry boat
../database\ferry boat\ferries-shipping-transport-cross-53122.jpg,database\ferry boat
../database\ferry boat\ferry-boat-black-sign-symbol-icon-99055.jpg,database\ferry boat
../database\ferry boat\ferry-boat-boat-transportation-sea-3058297.jpg,database\ferry boat
../database\ferry boat\ferry-boat-boat-travel-sea-vessel-2709839.jpg,database\ferry boat
../database\ferry boat\ferry-boat-sea-ship-blue-ferry-ferry-fer-157517.jpg,database\ferry boat
../database\ferry boat\ferry-boat-sea-ship-red-ferry-boat-ship--157516.jpg,database\ferry boat
../database\ferry boat\ferry-boat-ship-sea-transport-2766582.jpg,database\ferry boat
../database\ferry boat\ferry-boat-ship-water-port-lake-3598776.jpg,database\ferry boat
../database\ferry boat\ferry-boat-transportation-ship-water-tra-1956735.jpg,database\ferry boat
